<Instância> 	 <Semente> 	 <Melhor_Custo> 	 <Tempo_CPU>	 <Custo_Financeiro> 	 <Tempo_Workflow>
8423           1            0.000086674        16.774584123                0.014554652             VM
8427           1            0.000086704        16.780356931                0.014559661             VM
8428           1            0.000086674        16.774508366                0.014554586             VM
8434           1            0.000086420        16.725448756                0.014512019             VM
8431           1            0.000086432        16.727767910                0.014514031             VM
8420           1            0.000086703        16.780082568                0.014559423             VM
8441           1            0.000086060        16.655707775                0.014451508             VM
8419           1            0.000086688        16.777164418                0.014556891             VM
8432           1            0.000086526        16.745910629                0.014529773             VM
8415           1            0.000086959        16.829764647                0.014602530             VM
8424           1            0.000086697        16.779034937                0.014558514             VM
8410           1            0.000087582        16.950256155                0.014707076             VM
8435           1            0.000086457        16.732478229                0.014518118             VM
8445          4           0.000027916          1.662940000                0.001487705             FX
========================================================================
035_T106_C5_D240_VM3.txt	 6	 0.522406131594944	 375.892833	 0.003209	 601.820292
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
1298           2            0.000002809        0.135934906                0.000122834             VM
1307           2            0.000002925        0.141542434                0.000127901             VM
1317           2            0.000002695        0.130382109                0.000117817             VM
1358           2            0.000002586        0.125109625                0.000113052             VM
875           2            0.000002924        0.141501782                0.000127865             VM
1337           2            0.000002515        0.121673783                0.000109948             VM
759           1            0.000000605        0.117046046                0.000101556             VM
825           2            0.000002573        0.124506360                0.000112507             VM
1381           1            0.000000595        0.115144144                0.000099906             VM
1401           2            0.000002830        0.136953390                0.000123755             VM
1382           2            0.000002912        0.140903711                0.000127324             VM
1354           2            0.000002788        0.134912292                0.000121910             VM
818           2            0.000002199        0.106416876                0.000096161             VM
1602           1            0.000001073        0.207727981                0.000180237             VM
1292           2            0.000002834        0.137107803                0.000123894             VM
758           2            0.000002380        0.115140105                0.000104044             VM
1368           2            0.000002433        0.117724415                0.000106379             VM
1348           2            0.000002390        0.115635239                0.000104491             VM
1606           1            0.000001059        0.205044139                0.000177909             VM
1375           2            0.000002912        0.140913633                0.000127333             VM
1599           1            0.000001103        0.213427134                0.000185182             VM
1398           2            0.000003699        0.178975946                0.000161727             VM
1605           1            0.000001143        0.221195149                0.000191922             VM
1505           1            0.000001306        0.252667549                0.000219230             VM
1314           2            0.000002341        0.113254224                0.000102339             VM
1304           2            0.000002750        0.133038481                0.000120217             VM
1617           1            0.000001065        0.206113173                0.000178836             VM
1569           1            0.000001385        0.268039680                0.000232568             VM
739           2            0.000002624        0.126976776                0.000114740             VM
1430          4           0.000004305          0.246270000                0.000220714             FX
24           1            0.000001287        0.249153798                0.000216181             VM
738           2            0.000002808        0.135885001                0.000122789             VM
1576           1            0.000001080        0.209002203                0.000181343             VM
808           2            0.000002964        0.143410892                0.000129590             VM
1559           1            0.000001386        0.268227308                0.000232730             VM
1625           1            0.000000816        0.158001493                0.000137092             VM
1634           1            0.000001373        0.265765589                0.000230594             VM
1495           1            0.000001357        0.262665999                0.000227905             VM
754           2            0.000002756        0.133355701                0.000120504             VM
803           2            0.000002295        0.111024976                0.000100325             VM
853           2            0.000002855        0.138119178                0.000124808             VM
734           2            0.000002663        0.128844988                0.000116428             VM
1294           2            0.000002509        0.121421100                0.000109719             VM
1508           1            0.000001312        0.254004821                0.000220390             VM
1424          4           0.000003162          0.177740000                0.000159425             FX
1630           1            0.000001054        0.203973970                0.000176980             VM
1578           1            0.000001100        0.212867121                0.000184696             VM
1377           2            0.000002855        0.138130924                0.000124819             VM
1623           1            0.000001106        0.214006333                0.000185685             VM
1631           1            0.000001074        0.207902885                0.000180389             VM
1499           1            0.000001343        0.259871059                0.000225480             VM
1582           1            0.000001030        0.199285555                0.000172912             VM
1433           1            0.000001411        0.273094965                0.000236954             VM
1416           1            0.000001538        0.297667540                0.000258275             VM
868           2            0.000002851        0.137967383                0.000124671             VM
34           2            0.000002540        0.122917486                0.000111071             VM
858           2            0.000002574        0.124554403                0.000112551             VM
1405          5           0.000007512          0.219350000                0.000205121             FX
1555           1            0.000001405        0.271976317                0.000235983             VM
1540           1            0.000001412        0.273339437                0.000237166             VM
1429           1            0.000001603        0.310263880                0.000269204             VM
1518           1            0.000001251        0.242130489                0.000210087             VM
1515           1            0.000001314        0.254247753                0.000220601             VM
1549           1            0.000001321        0.255619153                0.000221791             VM
1339           2            0.000002639        0.127685205                0.000115380             VM
1583           1            0.000001121        0.217030231                0.000188309             VM
1404          4           0.000004827          0.277600000                0.000248734             FX
1538           1            0.000001671        0.323492914                0.000280682             VM
1493           1            0.000001266        0.244919805                0.000212507             VM
1422           1            0.000001474        0.285331140                0.000247571             VM
8411           1            0.000087353        16.905868447                0.014668562             VM
8412           1            0.000086942        16.826472134                0.014599673             VM
8434           1            0.000086420        16.725448756                0.014512019             VM
8410           1            0.000087582        16.950256155                0.014707076             VM
8435           1            0.000086457        16.732478229                0.014518118             VM
8436           1            0.000086400        16.721444205                0.014508545             VM
8428           1            0.000086674        16.774508366                0.014554586             VM
8426           1            0.000086691        16.777901285                0.014557530             VM
8433           1            0.000086437        16.728689027                0.014514831             VM
8419           1            0.000086688        16.777164418                0.014556891             VM
8414           1            0.000086941        16.826275756                0.014599503             VM
8442           1            0.000086422        16.725664027                0.014512206             VM
8444           1            0.000086406        16.722566807                0.014509519             VM
8440           1            0.000086447        16.730547398                0.014516443             VM
8425           1            0.000086703        16.780207155                0.014559531             VM
8424           1            0.000086697        16.779034937                0.014558514             VM
8413           1            0.000086931        16.824206905                0.014597708             VM
8423           1            0.000086674        16.774584123                0.014554652             VM
8422           1            0.000086694        16.778362378                0.014557930             VM
8427           1            0.000086704        16.780356931                0.014559661             VM
8421           1            0.000086696        16.778760146                0.014558275             VM
8438           1            0.000086459        16.732961153                0.014518537             VM
8432           1            0.000086526        16.745910629                0.014529773             VM
8439           1            0.000086432        16.727777912                0.014514040             VM
8417           1            0.000086702        16.779957697                0.014559314             VM
8430           1            0.000086687        16.777126150                0.014556858             VM
8429           1            0.000086687        16.777083685                0.014556821             VM
8420           1            0.000086703        16.780082568                0.014559423             VM
8443           1            0.000086408        16.723028931                0.014509920             VM
8418           1            0.000086679        16.775402090                0.014555362             VM
8441           1            0.000086060        16.655707775                0.014451508             VM
8437           1            0.000086454        16.732009547                0.014517712             VM
8416           1            0.000087058        16.848845661                0.014619086             VM
8415           1            0.000086959        16.829764647                0.014602530             VM
8431           1            0.000086432        16.727767910                0.014514031             VM
8445          4           0.000027916          1.662940000                0.001487705             FX
========================================================================
035_T106_C5_D240_VM3.txt	 7	 0.522406131594945	 372.188719	 0.003209	 601.820292
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
853           2            0.000002855        0.138119178                0.000124808             VM
803           2            0.000002295        0.111024976                0.000100325             VM
739           2            0.000002624        0.126976776                0.000114740             VM
825           2            0.000002573        0.124506360                0.000112507             VM
875           2            0.000002924        0.141501782                0.000127865             VM
1377           2            0.000002855        0.138130924                0.000124819             VM
1368           2            0.000002433        0.117724415                0.000106379             VM
738           2            0.000002808        0.135885001                0.000122789             VM
1317           2            0.000002695        0.130382109                0.000117817             VM
1314           2            0.000002341        0.113254224                0.000102339             VM
1398           2            0.000003699        0.178975946                0.000161727             VM
1339           2            0.000002639        0.127685205                0.000115380             VM
1375           2            0.000002912        0.140913633                0.000127333             VM
1381           1            0.000000595        0.115144144                0.000099906             VM
1424          4           0.000003162          0.177740000                0.000159425             FX
818           2            0.000002199        0.106416876                0.000096161             VM
734           2            0.000002663        0.128844988                0.000116428             VM
1382           2            0.000002912        0.140903711                0.000127324             VM
1304           2            0.000002750        0.133038481                0.000120217             VM
1358           2            0.000002586        0.125109625                0.000113052             VM
868           2            0.000002851        0.137967383                0.000124671             VM
1625           1            0.000000816        0.158001493                0.000137092             VM
808           2            0.000002964        0.143410892                0.000129590             VM
1292           2            0.000002834        0.137107803                0.000123894             VM
1348           2            0.000002390        0.115635239                0.000104491             VM
1631           1            0.000001074        0.207902885                0.000180389             VM
1578           1            0.000001100        0.212867121                0.000184696             VM
1583           1            0.000001121        0.217030231                0.000188309             VM
1576           1            0.000001080        0.209002203                0.000181343             VM
1540           1            0.000001412        0.273339437                0.000237166             VM
1298           2            0.000002809        0.135934906                0.000122834             VM
1307           2            0.000002925        0.141542434                0.000127901             VM
758           2            0.000002380        0.115140105                0.000104044             VM
1617           1            0.000001065        0.206113173                0.000178836             VM
1559           1            0.000001386        0.268227308                0.000232730             VM
1605           1            0.000001143        0.221195149                0.000191922             VM
1623           1            0.000001106        0.214006333                0.000185685             VM
1555           1            0.000001405        0.271976317                0.000235983             VM
1401           2            0.000002830        0.136953390                0.000123755             VM
1430          4           0.000004305          0.246270000                0.000220714             FX
1630           1            0.000001054        0.203973970                0.000176980             VM
858           2            0.000002574        0.124554403                0.000112551             VM
1569           1            0.000001385        0.268039680                0.000232568             VM
1606           1            0.000001059        0.205044139                0.000177909             VM
24           1            0.000001287        0.249153798                0.000216181             VM
1599           1            0.000001103        0.213427134                0.000185182             VM
1505           1            0.000001306        0.252667549                0.000219230             VM
1337           2            0.000002515        0.121673783                0.000109948             VM
1582           1            0.000001030        0.199285555                0.000172912             VM
1518           1            0.000001251        0.242130489                0.000210087             VM
1495           1            0.000001357        0.262665999                0.000227905             VM
1422           1            0.000001474        0.285331140                0.000247571             VM
1499           1            0.000001343        0.259871059                0.000225480             VM
754           2            0.000002756        0.133355701                0.000120504             VM
34           2            0.000002540        0.122917486                0.000111071             VM
1515           1            0.000001314        0.254247753                0.000220601             VM
1416           1            0.000001538        0.297667540                0.000258275             VM
1294           2            0.000002509        0.121421100                0.000109719             VM
759           1            0.000000605        0.117046046                0.000101556             VM
1433           1            0.000001411        0.273094965                0.000236954             VM
1354           2            0.000002788        0.134912292                0.000121910             VM
1429           1            0.000001603        0.310263880                0.000269204             VM
1634           1            0.000001373        0.265765589                0.000230594             VM
1602           1            0.000001073        0.207727981                0.000180237             VM
1405          5           0.000007512          0.219350000                0.000205121             FX
1508           1            0.000001312        0.254004821                0.000220390             VM
1493           1            0.000001266        0.244919805                0.000212507             VM
1404          4           0.000004827          0.277600000                0.000248734             FX
1549           1            0.000001321        0.255619153                0.000221791             VM
1538           1            0.000001671        0.323492914                0.000280682             VM
8435           1            0.000086457        16.732478229                0.014518118             VM
8428           1            0.000086674        16.774508366                0.014554586             VM
8438           1            0.000086459        16.732961153                0.014518537             VM
8443           1            0.000086408        16.723028931                0.014509920             VM
8429           1            0.000086687        16.777083685                0.014556821             VM
8425           1            0.000086703        16.780207155                0.014559531             VM
8410           1            0.000087582        16.950256155                0.014707076             VM
8418           1            0.000086679        16.775402090                0.014555362             VM
8440           1            0.000086447        16.730547398                0.014516443             VM
8436           1            0.000086400        16.721444205                0.014508545             VM
8434           1            0.000086420        16.725448756                0.014512019             VM
8439           1            0.000086432        16.727777912                0.014514040             VM
8423           1            0.000086674        16.774584123                0.014554652             VM
8427           1            0.000086704        16.780356931                0.014559661             VM
8414           1            0.000086941        16.826275756                0.014599503             VM
8433           1            0.000086437        16.728689027                0.014514831             VM
8424           1            0.000086697        16.779034937                0.014558514             VM
8413           1            0.000086931        16.824206905                0.014597708             VM
8420           1            0.000086703        16.780082568                0.014559423             VM
8442           1            0.000086422        16.725664027                0.014512206             VM
8432           1            0.000086526        16.745910629                0.014529773             VM
8444           1            0.000086406        16.722566807                0.014509519             VM
8426           1            0.000086691        16.777901285                0.014557530             VM
8437           1            0.000086454        16.732009547                0.014517712             VM
8430           1            0.000086687        16.777126150                0.014556858             VM
8417           1            0.000086702        16.779957697                0.014559314             VM
8419           1            0.000086688        16.777164418                0.014556891             VM
8412           1            0.000086942        16.826472134                0.014599673             VM
8416           1            0.000087058        16.848845661                0.014619086             VM
8431           1            0.000086432        16.727767910                0.014514031             VM
8422           1            0.000086694        16.778362378                0.014557930             VM
8421           1            0.000086696        16.778760146                0.014558275             VM
8415           1            0.000086959        16.829764647                0.014602530             VM
8411           1            0.000087353        16.905868447                0.014668562             VM
8441           1            0.000086060        16.655707775                0.014451508             VM
8445          4           0.000027916          1.662940000                0.001487705             FX
========================================================================
035_T106_C5_D240_VM3.txt	 8	 0.522406131594944	 376.799680	 0.003209	 601.820292
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
1354           2            0.000002788        0.134912292                0.000121910             VM
825           2            0.000002573        0.124506360                0.000112507             VM
1368           2            0.000002433        0.117724415                0.000106379             VM
739           2            0.000002624        0.126976776                0.000114740             VM
34           2            0.000002540        0.122917486                0.000111071             VM
1337           2            0.000002515        0.121673783                0.000109948             VM
1298           2            0.000002809        0.135934906                0.000122834             VM
1317           2            0.000002695        0.130382109                0.000117817             VM
1382           2            0.000002912        0.140903711                0.000127324             VM
803           2            0.000002295        0.111024976                0.000100325             VM
1304           2            0.000002750        0.133038481                0.000120217             VM
818           2            0.000002199        0.106416876                0.000096161             VM
754           2            0.000002756        0.133355701                0.000120504             VM
1381           1            0.000000595        0.115144144                0.000099906             VM
1358           2            0.000002586        0.125109625                0.000113052             VM
1398           2            0.000003699        0.178975946                0.000161727             VM
1424          4           0.000003162          0.177740000                0.000159425             FX
758           2            0.000002380        0.115140105                0.000104044             VM
1582           1            0.000001030        0.199285555                0.000172912             VM
1339           2            0.000002639        0.127685205                0.000115380             VM
1493           1            0.000001266        0.244919805                0.000212507             VM
1314           2            0.000002341        0.113254224                0.000102339             VM
738           2            0.000002808        0.135885001                0.000122789             VM
808           2            0.000002964        0.143410892                0.000129590             VM
1348           2            0.000002390        0.115635239                0.000104491             VM
1602           1            0.000001073        0.207727981                0.000180237             VM
1578           1            0.000001100        0.212867121                0.000184696             VM
1625           1            0.000000816        0.158001493                0.000137092             VM
1505           1            0.000001306        0.252667549                0.000219230             VM
1606           1            0.000001059        0.205044139                0.000177909             VM
1405          5           0.000007512          0.219350000                0.000205121             FX
1499           1            0.000001343        0.259871059                0.000225480             VM
853           2            0.000002855        0.138119178                0.000124808             VM
1430          4           0.000004305          0.246270000                0.000220714             FX
1292           2            0.000002834        0.137107803                0.000123894             VM
734           2            0.000002663        0.128844988                0.000116428             VM
1599           1            0.000001103        0.213427134                0.000185182             VM
868           2            0.000002851        0.137967383                0.000124671             VM
1375           2            0.000002912        0.140913633                0.000127333             VM
1307           2            0.000002925        0.141542434                0.000127901             VM
1401           2            0.000002830        0.136953390                0.000123755             VM
24           1            0.000001287        0.249153798                0.000216181             VM
1518           1            0.000001251        0.242130489                0.000210087             VM
1422           1            0.000001474        0.285331140                0.000247571             VM
1630           1            0.000001054        0.203973970                0.000176980             VM
1617           1            0.000001065        0.206113173                0.000178836             VM
1377           2            0.000002855        0.138130924                0.000124819             VM
1623           1            0.000001106        0.214006333                0.000185685             VM
1416           1            0.000001538        0.297667540                0.000258275             VM
1634           1            0.000001373        0.265765589                0.000230594             VM
1576           1            0.000001080        0.209002203                0.000181343             VM
1605           1            0.000001143        0.221195149                0.000191922             VM
1569           1            0.000001385        0.268039680                0.000232568             VM
1555           1            0.000001405        0.271976317                0.000235983             VM
858           2            0.000002574        0.124554403                0.000112551             VM
1294           2            0.000002509        0.121421100                0.000109719             VM
759           1            0.000000605        0.117046046                0.000101556             VM
875           2            0.000002924        0.141501782                0.000127865             VM
1404          4           0.000004827          0.277600000                0.000248734             FX
1583           1            0.000001121        0.217030231                0.000188309             VM
1429           1            0.000001603        0.310263880                0.000269204             VM
1495           1            0.000001357        0.262665999                0.000227905             VM
1631           1            0.000001074        0.207902885                0.000180389             VM
1515           1            0.000001314        0.254247753                0.000220601             VM
1559           1            0.000001386        0.268227308                0.000232730             VM
1538           1            0.000001671        0.323492914                0.000280682             VM
1549           1            0.000001321        0.255619153                0.000221791             VM
1508           1            0.000001312        0.254004821                0.000220390             VM
1540           1            0.000001412        0.273339437                0.000237166             VM
1433           1            0.000001411        0.273094965                0.000236954             VM
8415           1            0.000086959        16.829764647                0.014602530             VM
8423           1            0.000086674        16.774584123                0.014554652             VM
8434           1            0.000086420        16.725448756                0.014512019             VM
8431           1            0.000086432        16.727767910                0.014514031             VM
8435           1            0.000086457        16.732478229                0.014518118             VM
8432           1            0.000086526        16.745910629                0.014529773             VM
8413           1            0.000086931        16.824206905                0.014597708             VM
8441           1            0.000086060        16.655707775                0.014451508             VM
8421           1            0.000086696        16.778760146                0.014558275             VM
8412           1            0.000086942        16.826472134                0.014599673             VM
8438           1            0.000086459        16.732961153                0.014518537             VM
8426           1            0.000086691        16.777901285                0.014557530             VM
8417           1            0.000086702        16.779957697                0.014559314             VM
8420           1            0.000086703        16.780082568                0.014559423             VM
8433           1            0.000086437        16.728689027                0.014514831             VM
8439           1            0.000086432        16.727777912                0.014514040             VM
8430           1            0.000086687        16.777126150                0.014556858             VM
8428           1            0.000086674        16.774508366                0.014554586             VM
8443           1            0.000086408        16.723028931                0.014509920             VM
8416           1            0.000087058        16.848845661                0.014619086             VM
8442           1            0.000086422        16.725664027                0.014512206             VM
8429           1            0.000086687        16.777083685                0.014556821             VM
8422           1            0.000086694        16.778362378                0.014557930             VM
8437           1            0.000086454        16.732009547                0.014517712             VM
8410           1            0.000087582        16.950256155                0.014707076             VM
8418           1            0.000086679        16.775402090                0.014555362             VM
8411           1            0.000087353        16.905868447                0.014668562             VM
8427           1            0.000086704        16.780356931                0.014559661             VM
8444           1            0.000086406        16.722566807                0.014509519             VM
8419           1            0.000086688        16.777164418                0.014556891             VM
8440           1            0.000086447        16.730547398                0.014516443             VM
8424           1            0.000086697        16.779034937                0.014558514             VM
8425           1            0.000086703        16.780207155                0.014559531             VM
8436           1            0.000086400        16.721444205                0.014508545             VM
8414           1            0.000086941        16.826275756                0.014599503             VM
8445          4           0.000027916          1.662940000                0.001487705             FX
========================================================================
035_T106_C5_D240_VM3.txt	 9	 0.522406131594944	 371.267467	 0.003209	 601.820292
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
1368           2            0.000002433        0.117724415                0.000106379             VM
825           2            0.000002573        0.124506360                0.000112507             VM
1377           2            0.000002855        0.138130924                0.000124819             VM
1304           2            0.000002750        0.133038481                0.000120217             VM
1337           2            0.000002515        0.121673783                0.000109948             VM
1381           1            0.000000595        0.115144144                0.000099906             VM
853           2            0.000002855        0.138119178                0.000124808             VM
759           1            0.000000605        0.117046046                0.000101556             VM
868           2            0.000002851        0.137967383                0.000124671             VM
1401           2            0.000002830        0.136953390                0.000123755             VM
738           2            0.000002808        0.135885001                0.000122789             VM
734           2            0.000002663        0.128844988                0.000116428             VM
739           2            0.000002624        0.126976776                0.000114740             VM
754           2            0.000002756        0.133355701                0.000120504             VM
1625           1            0.000000816        0.158001493                0.000137092             VM
1354           2            0.000002788        0.134912292                0.000121910             VM
1348           2            0.000002390        0.115635239                0.000104491             VM
1292           2            0.000002834        0.137107803                0.000123894             VM
1382           2            0.000002912        0.140903711                0.000127324             VM
1599           1            0.000001103        0.213427134                0.000185182             VM
1375           2            0.000002912        0.140913633                0.000127333             VM
34           2            0.000002540        0.122917486                0.000111071             VM
1602           1            0.000001073        0.207727981                0.000180237             VM
858           2            0.000002574        0.124554403                0.000112551             VM
875           2            0.000002924        0.141501782                0.000127865             VM
1582           1            0.000001030        0.199285555                0.000172912             VM
1424          4           0.000003162          0.177740000                0.000159425             FX
1515           1            0.000001314        0.254247753                0.000220601             VM
1294           2            0.000002509        0.121421100                0.000109719             VM
1617           1            0.000001065        0.206113173                0.000178836             VM
1518           1            0.000001251        0.242130489                0.000210087             VM
1298           2            0.000002809        0.135934906                0.000122834             VM
1606           1            0.000001059        0.205044139                0.000177909             VM
1549           1            0.000001321        0.255619153                0.000221791             VM
1307           2            0.000002925        0.141542434                0.000127901             VM
1317           2            0.000002695        0.130382109                0.000117817             VM
1314           2            0.000002341        0.113254224                0.000102339             VM
808           2            0.000002964        0.143410892                0.000129590             VM
818           2            0.000002199        0.106416876                0.000096161             VM
1433           1            0.000001411        0.273094965                0.000236954             VM
1505           1            0.000001306        0.252667549                0.000219230             VM
1630           1            0.000001054        0.203973970                0.000176980             VM
24           1            0.000001287        0.249153798                0.000216181             VM
1495           1            0.000001357        0.262665999                0.000227905             VM
1623           1            0.000001106        0.214006333                0.000185685             VM
758           2            0.000002380        0.115140105                0.000104044             VM
1555           1            0.000001405        0.271976317                0.000235983             VM
1576           1            0.000001080        0.209002203                0.000181343             VM
1339           2            0.000002639        0.127685205                0.000115380             VM
1398           2            0.000003699        0.178975946                0.000161727             VM
1499           1            0.000001343        0.259871059                0.000225480             VM
1358           2            0.000002586        0.125109625                0.000113052             VM
803           2            0.000002295        0.111024976                0.000100325             VM
1559           1            0.000001386        0.268227308                0.000232730             VM
1508           1            0.000001312        0.254004821                0.000220390             VM
1569           1            0.000001385        0.268039680                0.000232568             VM
1605           1            0.000001143        0.221195149                0.000191922             VM
1631           1            0.000001074        0.207902885                0.000180389             VM
1578           1            0.000001100        0.212867121                0.000184696             VM
1429           1            0.000001603        0.310263880                0.000269204             VM
1583           1            0.000001121        0.217030231                0.000188309             VM
1540           1            0.000001412        0.273339437                0.000237166             VM
1634           1            0.000001373        0.265765589                0.000230594             VM
1430          4           0.000004305          0.246270000                0.000220714             FX
1493           1            0.000001266        0.244919805                0.000212507             VM
1404          4           0.000004827          0.277600000                0.000248734             FX
1416           1            0.000001538        0.297667540                0.000258275             VM
1422           1            0.000001474        0.285331140                0.000247571             VM
1538           1            0.000001671        0.323492914                0.000280682             VM
1405          5           0.000007512          0.219350000                0.000205121             FX
8412           1            0.000086942        16.826472134                0.014599673             VM
8433           1            0.000086437        16.728689027                0.014514831             VM
8435           1            0.000086457        16.732478229                0.014518118             VM
8439           1            0.000086432        16.727777912                0.014514040             VM
8419           1            0.000086688        16.777164418                0.014556891             VM
8434           1            0.000086420        16.725448756                0.014512019             VM
8438           1            0.000086459        16.732961153                0.014518537             VM
8442           1            0.000086422        16.725664027                0.014512206             VM
8411           1            0.000087353        16.905868447                0.014668562             VM
8436           1            0.000086400        16.721444205                0.014508545             VM
8443           1            0.000086408        16.723028931                0.014509920             VM
8410           1            0.000087582        16.950256155                0.014707076             VM
8441           1            0.000086060        16.655707775                0.014451508             VM
8428           1            0.000086674        16.774508366                0.014554586             VM
8444           1            0.000086406        16.722566807                0.014509519             VM
8420           1            0.000086703        16.780082568                0.014559423             VM
8430           1            0.000086687        16.777126150                0.014556858             VM
8416           1            0.000087058        16.848845661                0.014619086             VM
8432           1            0.000086526        16.745910629                0.014529773             VM
8431           1            0.000086432        16.727767910                0.014514031             VM
8429           1            0.000086687        16.777083685                0.014556821             VM
8414           1            0.000086941        16.826275756                0.014599503             VM
8421           1            0.000086696        16.778760146                0.014558275             VM
8440           1            0.000086447        16.730547398                0.014516443             VM
8418           1            0.000086679        16.775402090                0.014555362             VM
8415           1            0.000086959        16.829764647                0.014602530             VM
8426           1            0.000086691        16.777901285                0.014557530             VM
8417           1            0.000086702        16.779957697                0.014559314             VM
8423           1            0.000086674        16.774584123                0.014554652             VM
8424           1            0.000086697        16.779034937                0.014558514             VM
8437           1            0.000086454        16.732009547                0.014517712             VM
8422           1            0.000086694        16.778362378                0.014557930             VM
8425           1            0.000086703        16.780207155                0.014559531             VM
8413           1            0.000086931        16.824206905                0.014597708             VM
8427           1            0.000086704        16.780356931                0.014559661             VM
8445          4           0.000027916          1.662940000                0.001487705             FX
========================================================================
035_T106_C5_D240_VM3.txt	 10	 0.522406131594944	 373.791358	 0.003209	 601.820292
<task_id>	 <FX/VM id>	    <Custo_fin>	      <Tempo_workflow>	          <Custo_normalizado>
758           2            0.000002380        0.115140105                0.000104044             VM
734           2            0.000002663        0.128844988                0.000116428             VM
1358           2            0.000002586        0.125109625                0.000113052             VM
868           2            0.000002851        0.137967383                0.000124671             VM
1375           2            0.000002912        0.140913633                0.000127333             VM
1401           2            0.000002830        0.136953390                0.000123755             VM
739           2            0.000002624        0.126976776                0.000114740             VM
803           2            0.000002295        0.111024976                0.000100325             VM
1307           2            0.000002925        0.141542434                0.000127901             VM
1368           2            0.000002433        0.117724415                0.000106379             VM
1424          4           0.000003162          0.177740000                0.000159425             FX
1314           2            0.000002341        0.113254224                0.000102339             VM
1317           2            0.000002695        0.130382109                0.000117817             VM
1398           2            0.000003699        0.178975946                0.000161727             VM
1377           2            0.000002855        0.138130924                0.000124819             VM
759           1            0.000000605        0.117046046                0.000101556             VM
858           2            0.000002574        0.124554403                0.000112551             VM
1493           1            0.000001266        0.244919805                0.000212507             VM
818           2            0.000002199        0.106416876                0.000096161             VM
1617           1            0.000001065        0.206113173                0.000178836             VM
1339           2            0.000002639        0.127685205                0.000115380             VM
1631           1            0.000001074        0.207902885                0.000180389             VM
1583           1            0.000001121        0.217030231                0.000188309             VM
853           2            0.000002855        0.138119178                0.000124808             VM
1304           2            0.000002750        0.133038481                0.000120217             VM
1382           2            0.000002912        0.140903711                0.000127324             VM
1499           1            0.000001343        0.259871059                0.000225480             VM
825           2            0.000002573        0.124506360                0.000112507             VM
1505           1            0.000001306        0.252667549                0.000219230             VM
1292           2            0.000002834        0.137107803                0.000123894             VM
34           2            0.000002540        0.122917486                0.000111071             VM
1623           1            0.000001106        0.214006333                0.000185685             VM
1381           1            0.000000595        0.115144144                0.000099906             VM
1569           1            0.000001385        0.268039680                0.000232568             VM
1348           2            0.000002390        0.115635239                0.000104491             VM
738           2            0.000002808        0.135885001                0.000122789             VM
24           1            0.000001287        0.249153798                0.000216181             VM
1605           1            0.000001143        0.221195149                0.000191922             VM
808           2            0.000002964        0.143410892                0.000129590             VM
1337           2            0.000002515        0.121673783                0.000109948             VM
1582           1            0.000001030        0.199285555                0.000172912             VM
1298           2            0.000002809        0.135934906                0.000122834             VM
1294           2            0.000002509        0.121421100                0.000109719             VM
1606           1            0.000001059        0.205044139                0.000177909             VM
1625           1            0.000000816        0.158001493                0.000137092             VM
1430          4           0.000004305          0.246270000                0.000220714             FX
754           2            0.000002756        0.133355701                0.000120504             VM
1354           2            0.000002788        0.134912292                0.000121910             VM
1405          5           0.000007512          0.219350000                0.000205121             FX
875           2            0.000002924        0.141501782                0.000127865             VM
1540           1            0.000001412        0.273339437                0.000237166             VM
1576           1            0.000001080        0.209002203                0.000181343             VM
1515           1            0.000001314        0.254247753                0.000220601             VM
1602           1            0.000001073        0.207727981                0.000180237             VM
1495           1            0.000001357        0.262665999                0.000227905             VM
1416           1            0.000001538        0.297667540                0.000258275             VM
1549           1            0.000001321        0.255619153                0.000221791             VM
1634           1            0.000001373        0.265765589                0.000230594             VM
1422           1            0.000001474        0.285331140                0.000247571             VM
1508           1            0.000001312        0.254004821                0.000220390             VM
1559           1            0.000001386        0.268227308                0.000232730             VM
1518           1            0.000001251        0.242130489                0.000210087             VM
1599           1            0.000001103        0.213427134                0.000185182             VM
1630           1            0.000001054        0.203973970                0.000176980             VM
1429           1            0.000001603        0.310263880                0.000269204             VM
1433           1            0.000001411        0.273094965                0.000236954             VM
1555           1            0.000001405        0.271976317                0.000235983             VM
1578           1            0.000001100        0.212867121                0.000184696             VM
1538           1            0.000001671        0.323492914                0.000280682             VM
1404          4           0.000004827          0.277600000                0.000248734             FX
8425           1            0.000086703        16.780207155                0.014559531             VM
8427           1            0.000086704        16.780356931                0.014559661             VM
8437           1            0.000086454        16.732009547                0.014517712             VM
8416           1            0.000087058        16.848845661                0.014619086             VM
8418           1            0.000086679        16.775402090                0.014555362             VM
8426           1            0.000086691        16.777901285                0.014557530             VM
8432           1            0.000086526        16.745910629                0.014529773             VM
8422           1            0.000086694        16.778362378                0.014557930             VM
8429           1            0.000086687        16.777083685                0.014556821             VM
8434           1            0.000086420        16.725448756                0.014512019             VM
